Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001,SE_A10030_001,SE_A10030_002,SE_A10030_003,SE_A10030_004,SE_A10030_005,SE_A10030_006,SE_A10030_007
"060750163004","Block Group 4, Census Tract 163, San Francisco County, California","ca","150","00",,,,"06","075",,,"016300","4",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750163004","Block Group 4",,,,59960,505,120,342,25,0,18,0
"060750164001","Block Group 1, Census Tract 164, San Francisco County, California","ca","150","00",,,,"06","075",,,"016400","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750164001","Block Group 1",,,,210673,815,244,462,72,5,32,0
"060750164002","Block Group 2, Census Tract 164, San Francisco County, California","ca","150","00",,,,"06","075",,,"016400","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750164002","Block Group 2",,,,190066,365,153,171,30,11,0,0
"060750164003","Block Group 3, Census Tract 164, San Francisco County, California","ca","150","00",,,,"06","075",,,"016400","3",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750164003","Block Group 3",,,,176181,499,253,196,19,0,0,31
"060750165001","Block Group 1, Census Tract 165, San Francisco County, California","ca","150","00",,,,"06","075",,,"016500","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750165001","Block Group 1",,,,121961,526,265,215,46,0,0,0
"060750165002","Block Group 2, Census Tract 165, San Francisco County, California","ca","150","00",,,,"06","075",,,"016500","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750165002","Block Group 2",,,,189000,626,111,454,61,0,0,0
"060750165003","Block Group 3, Census Tract 165, San Francisco County, California","ca","150","00",,,,"06","075",,,"016500","3",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750165003","Block Group 3",,,,221100,822,250,436,136,0,0,0
"060750165004","Block Group 4, Census Tract 165, San Francisco County, California","ca","150","00",,,,"06","075",,,"016500","4",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750165004","Block Group 4",,,,161979,329,57,225,47,0,0,0
"060750166011","Block Group 1, Census Tract 166.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"016601","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750166011","Block Group 1",,,,129844,862,291,487,62,0,22,0
"060750166012","Block Group 2, Census Tract 166.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"016601","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750166012","Block Group 2",,,,177813,649,310,291,48,0,0,0
