"FIPS","Qualifying Name","State Postal Abbreviation","Summary Level","Geographic Component","US","Census Region","Census Division","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Statistical Area Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Combined Statistical Area","New England City and Town Area Division","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Workers 16 Years and Over:","Workers 16 Years and Over: Car, Truck, or Van","Workers 16 Years and Over: Drove Alone","Workers 16 Years and Over: Carpooled","Workers 16 Years and Over: Public Transportation (Includes Taxicab)","Workers 16 Years and Over: Motorcycle","Workers 16 Years and Over: Bicycle","Workers 16 Years and Over: Walked","Workers 16 Years and Over: Other Means","Workers 16 Years and Over: Worked At Home","% Workers 16 Years and Over: Car, Truck, or Van","% Workers 16 Years and Over: Drove Alone","% Workers 16 Years and Over: Carpooled","% Workers 16 Years and Over: Public Transportation (Includes Taxicab)","% Workers 16 Years and Over: Motorcycle","% Workers 16 Years and Over: Bicycle","% Workers 16 Years and Over: Walked","% Workers 16 Years and Over: Other Means","% Workers 16 Years and Over: Worked At Home"
Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,PCT_SE_A09005_002,PCT_SE_A09005_009,PCT_SE_A09005_010,PCT_SE_A09005_003,PCT_SE_A09005_004,PCT_SE_A09005_005,PCT_SE_A09005_006,PCT_SE_A09005_007,PCT_SE_A09005_008
"06075012602","Census Tract 126.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"012602",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012602","Census Tract 126.02",,,,2017,611,490,121,543,16,31,42,27,747,30.29,24.29,6,26.92,0.79,1.54,2.08,1.34,37.04
"06075012700","Census Tract 127, San Francisco County, California","ca","140","00",,,,"06","075",,,"012700",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012700","Census Tract 127",,,,2515,908,727,181,368,54,0,94,52,1039,36.1,28.91,7.2,14.63,2.15,0,3.74,2.07,41.31
"06075012801","Census Tract 128.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"012801",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012801","Census Tract 128.01",,,,1457,548,389,159,152,0,24,178,0,555,37.61,26.7,10.91,10.43,0,1.65,12.22,0,38.09
"06075012802","Census Tract 128.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"012802",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012802","Census Tract 128.02",,,,1352,232,194,38,265,0,134,53,29,639,17.16,14.35,2.81,19.6,0,9.91,3.92,2.14,47.26
"06075012901","Census Tract 129.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"012901",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012901","Census Tract 129.01",,,,2205,548,542,6,471,42,71,144,35,894,24.85,24.58,0.27,21.36,1.9,3.22,6.53,1.59,40.54
"06075012902","Census Tract 129.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"012902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012902","Census Tract 129.02",,,,2067,509,393,116,561,25,82,55,47,788,24.63,19.01,5.61,27.14,1.21,3.97,2.66,2.27,38.12
"06075013001","Census Tract 130.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"013001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075013001","Census Tract 130.01",,,,1062,382,365,17,292,0,85,116,36,151,35.97,34.37,1.6,27.5,0,8,10.92,3.39,14.22
"06075013002","Census Tract 130.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"013002",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075013002","Census Tract 130.02",,,,1863,392,316,76,403,0,0,169,70,829,21.04,16.96,4.08,21.63,0,0,9.07,3.76,44.5
"06075013101","Census Tract 131.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"013101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075013101","Census Tract 131.01",,,,2649,599,452,147,410,16,26,517,172,909,22.61,17.06,5.55,15.48,0.6,0.98,19.52,6.49,34.31
"06075013102","Census Tract 131.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"013102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075013102","Census Tract 131.02",,,,1833,639,547,92,292,9,40,148,40,665,34.86,29.84,5.02,15.93,0.49,2.18,8.07,2.18,36.28
"06075013200","Census Tract 132, San Francisco County, California","ca","140","00",,,,"06","075",,,"013200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075013200","Census Tract 132",,,,2202,662,484,178,347,18,112,120,164,779,30.06,21.98,8.08,15.76,0.82,5.09,5.45,7.45,35.38
"06075013300","Census Tract 133, San Francisco County, California","ca","140","00",,,,"06","075",,,"013300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075013300","Census Tract 133",,,,1961,704,636,68,434,0,71,128,30,594,35.9,32.43,3.47,22.13,0,3.62,6.53,1.53,30.29
"06075013401","Census Tract 134.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"013401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075013401","Census Tract 134.01",,,,951,307,269,38,225,0,7,47,123,242,32.28,28.29,4,23.66,0,0.74,4.94,12.93,25.45
"06075013402","Census Tract 134.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"013402",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075013402","Census Tract 134.02",,,,1484,514,433,81,344,10,32,35,0,549,34.64,29.18,5.46,23.18,0.67,2.16,2.36,0,36.99
"06075013500","Census Tract 135, San Francisco County, California","ca","140","00",,,,"06","075",,,"013500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075013500","Census Tract 135",,,,1793,672,613,59,373,0,51,170,30,497,37.48,34.19,3.29,20.8,0,2.84,9.48,1.67,27.72
"06075015100","Census Tract 151, San Francisco County, California","ca","140","00",,,,"06","075",,,"015100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075015100","Census Tract 151",,,,1627,278,248,30,514,7,43,236,31,518,17.09,15.24,1.84,31.59,0.43,2.64,14.51,1.91,31.84
"06075015201","Census Tract 152.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"015201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075015201","Census Tract 152.01",,,,979,386,279,107,199,0,15,113,0,266,39.43,28.5,10.93,20.33,0,1.53,11.54,0,27.17
"06075015202","Census Tract 152.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"015202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075015202","Census Tract 152.02",,,,1584,468,366,102,257,0,0,157,112,590,29.55,23.11,6.44,16.22,0,0,9.91,7.07,37.25
"06075015300","Census Tract 153, San Francisco County, California","ca","140","00",,,,"06","075",,,"015300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075015300","Census Tract 153",,,,1599,233,191,42,393,0,22,226,87,638,14.57,11.94,2.63,24.58,0,1.38,14.13,5.44,39.9
"06075015401","Census Tract 154.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"015401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075015401","Census Tract 154.01",,,,2076,507,411,96,479,0,15,153,89,833,24.42,19.8,4.62,23.07,0,0.72,7.37,4.29,40.13
"06075015402","Census Tract 154.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"015402",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075015402","Census Tract 154.02",,,,1836,627,457,170,349,0,0,61,8,791,34.15,24.89,9.26,19.01,0,0,3.32,0.44,43.08
"06075015500","Census Tract 155, San Francisco County, California","ca","140","00",,,,"06","075",,,"015500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075015500","Census Tract 155",,,,1765,420,419,1,525,0,7,189,0,624,23.8,23.74,0.06,29.75,0,0.4,10.71,0,35.35
"06075015600","Census Tract 156, San Francisco County, California","ca","140","00",,,,"06","075",,,"015600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075015600","Census Tract 156",,,,1562,548,395,153,404,21,15,117,0,457,35.08,25.29,9.8,25.86,1.34,0.96,7.49,0,29.26
"06075015701","Census Tract 157.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"015701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075015701","Census Tract 157.01",,,,2778,725,671,54,892,0,21,541,19,580,26.1,24.15,1.94,32.11,0,0.76,19.47,0.68,20.88
"06075015702","Census Tract 157.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"015702",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075015702","Census Tract 157.02",,,,2200,765,679,86,496,18,146,89,0,686,34.77,30.86,3.91,22.55,0.82,6.64,4.05,0,31.18
"06075015801","Census Tract 158.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"015801",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075015801","Census Tract 158.01",,,,1680,488,454,34,546,0,32,136,52,426,29.05,27.02,2.02,32.5,0,1.9,8.1,3.1,25.36
"06075015802","Census Tract 158.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"015802",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075015802","Census Tract 158.02",,,,2192,610,435,175,531,0,106,146,85,714,27.83,19.84,7.98,24.22,0,4.84,6.66,3.88,32.57
"06075015900","Census Tract 159, San Francisco County, California","ca","140","00",,,,"06","075",,,"015900",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075015900","Census Tract 159",,,,2407,597,485,112,554,0,91,353,39,773,24.8,20.15,4.65,23.02,0,3.78,14.67,1.62,32.11
"06075016000","Census Tract 160, San Francisco County, California","ca","140","00",,,,"06","075",,,"016000",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075016000","Census Tract 160",,,,1604,606,543,63,277,3,19,252,48,399,37.78,33.85,3.93,17.27,0.19,1.18,15.71,2.99,24.88
"06075016101","Census Tract 161.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"016101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075016101","Census Tract 161.01",,,,970,162,162,0,311,0,5,42,87,363,16.7,16.7,0,32.06,0,0.52,4.33,8.97,37.42
"06075016102","Census Tract 161.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"016102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075016102","Census Tract 161.02",,,,779,236,236,0,446,0,0,86,0,11,30.3,30.3,0,57.25,0,0,11.04,0,1.41
"06075016200","Census Tract 162, San Francisco County, California","ca","140","00",,,,"06","075",,,"016200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075016200","Census Tract 162",,,,2367,487,487,0,440,84,320,288,0,748,20.57,20.57,0,18.59,3.55,13.52,12.17,0,31.6
"06075016300","Census Tract 163, San Francisco County, California","ca","140","00",,,,"06","075",,,"016300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075016300","Census Tract 163",,,,2278,530,408,122,599,27,162,140,0,820,23.27,17.91,5.36,26.29,1.19,7.11,6.15,0,36
"06075016400","Census Tract 164, San Francisco County, California","ca","140","00",,,,"06","075",,,"016400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075016400","Census Tract 164",,,,2312,629,527,102,709,0,104,54,35,781,27.21,22.79,4.41,30.67,0,4.5,2.34,1.51,33.78
"06075016500","Census Tract 165, San Francisco County, California","ca","140","00",,,,"06","075",,,"016500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075016500","Census Tract 165",,,,3534,580,409,171,759,10,208,613,100,1264,16.41,11.57,4.84,21.48,0.28,5.89,17.35,2.83,35.77
"06075016601","Census Tract 166.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"016601",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075016601","Census Tract 166.01",,,,1983,454,404,50,513,15,102,216,12,671,22.89,20.37,2.52,25.87,0.76,5.14,10.89,0.61,33.84
"06075016602","Census Tract 166.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"016602",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075016602","Census Tract 166.02",,,,1586,390,295,95,366,9,100,40,0,681,24.59,18.6,5.99,23.08,0.57,6.31,2.52,0,42.94
"06075016700","Census Tract 167, San Francisco County, California","ca","140","00",,,,"06","075",,,"016700",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075016700","Census Tract 167",,,,4051,838,732,106,1180,0,508,83,74,1368,20.69,18.07,2.62,29.13,0,12.54,2.05,1.83,33.77
"06075016801","Census Tract 168.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"016801",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075016801","Census Tract 168.01",,,,2826,327,280,47,1238,55,152,269,127,658,11.57,9.91,1.66,43.81,1.95,5.38,9.52,4.49,23.28
"06075016802","Census Tract 168.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"016802",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075016802","Census Tract 168.02",,,,2726,505,473,32,694,0,40,561,38,888,18.53,17.35,1.17,25.46,0,1.47,20.58,1.39,32.58
"06075016900","Census Tract 169, San Francisco County, California","ca","140","00",,,,"06","075",,,"016900",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075016900","Census Tract 169",,,,1875,350,270,80,629,0,58,133,8,697,18.67,14.4,4.27,33.55,0,3.09,7.09,0.43,37.17
"06075017000","Census Tract 170, San Francisco County, California","ca","140","00",,,,"06","075",,,"017000",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075017000","Census Tract 170",,,,2707,625,538,87,731,0,104,87,181,979,23.09,19.87,3.21,27,0,3.84,3.21,6.69,36.17
"06075017101","Census Tract 171.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"017101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075017101","Census Tract 171.01",,,,2405,658,584,74,546,35,172,65,17,912,27.36,24.28,3.08,22.7,1.46,7.15,2.7,0.71,37.92
"06075017102","Census Tract 171.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"017102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075017102","Census Tract 171.02",,,,2289,727,611,116,519,0,118,175,72,678,31.76,26.69,5.07,22.67,0,5.16,7.65,3.15,29.62
"06075017602","Census Tract 176.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"017602",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075017602","Census Tract 176.02",,,,1996,319,209,110,305,31,64,685,106,486,15.98,10.47,5.51,15.28,1.55,3.21,34.32,5.31,24.35
"06075017603","Census Tract 176.03, San Francisco County, California","ca","140","00",,,,"06","075",,,"017603",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075017603","Census Tract 176.03",,,,2699,343,235,108,696,51,66,580,40,923,12.71,8.71,4,25.79,1.89,2.45,21.49,1.48,34.2
"06075017604","Census Tract 176.04, San Francisco County, California","ca","140","00",,,,"06","075",,,"017604",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075017604","Census Tract 176.04",,,,2327,224,208,16,810,0,254,606,64,369,9.63,8.94,0.69,34.81,0,10.92,26.04,2.75,15.86
"06075017700","Census Tract 177, San Francisco County, California","ca","140","00",,,,"06","075",,,"017700",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075017700","Census Tract 177",,,,1698,443,380,63,476,0,68,122,16,573,26.09,22.38,3.71,28.03,0,4,7.18,0.94,33.75
"06075017801","Census Tract 178.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"017801",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075017801","Census Tract 178.01",,,,1452,122,122,0,153,0,14,521,15,627,8.4,8.4,0,10.54,0,0.96,35.88,1.03,43.18
"06075017803","Census Tract 178.03, San Francisco County, California","ca","140","00",,,,"06","075",,,"017803",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075017803","Census Tract 178.03",,,,1236,175,96,79,282,0,69,251,72,387,14.16,7.77,6.39,22.82,0,5.58,20.31,5.83,31.31
"06075017804","Census Tract 178.04, San Francisco County, California","ca","140","00",,,,"06","075",,,"017804",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075017804","Census Tract 178.04",,,,2805,601,596,5,518,0,55,645,131,855,21.43,21.25,0.18,18.47,0,1.96,22.99,4.67,30.48
"06075017903","Census Tract 179.03, San Francisco County, California","ca","140","00",,,,"06","075",,,"017903",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075017903","Census Tract 179.03",,,,1397,500,422,78,472,0,21,158,67,179,35.79,30.21,5.58,33.79,0,1.5,11.31,4.8,12.81
"06075018000","Census Tract 180, San Francisco County, California","ca","140","00",,,,"06","075",,,"018000",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075018000","Census Tract 180",,,,2082,356,339,17,370,0,59,481,170,646,17.1,16.28,0.82,17.77,0,2.83,23.1,8.17,31.03
"06075020101","Census Tract 201.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"020101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075020101","Census Tract 201.01",,,,2814,766,616,150,720,0,121,540,186,481,27.22,21.89,5.33,25.59,0,4.3,19.19,6.61,17.09
"06075020102","Census Tract 201.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"020102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075020102","Census Tract 201.02",,,,1971,665,603,62,576,0,82,242,11,395,33.74,30.59,3.15,29.22,0,4.16,12.28,0.56,20.04
"06075020201","Census Tract 202.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"020201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075020201","Census Tract 202.01",,,,1151,243,177,66,389,0,155,83,0,281,21.11,15.38,5.73,33.8,0,13.47,7.21,0,24.41
"06075020202","Census Tract 202.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"020202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075020202","Census Tract 202.02",,,,2778,355,341,14,639,10,365,195,72,1142,12.78,12.28,0.5,23,0.36,13.14,7.02,2.59,41.11
"06075020300","Census Tract 203, San Francisco County, California","ca","140","00",,,,"06","075",,,"020300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075020300","Census Tract 203",,,,2497,435,374,61,486,0,164,191,28,1193,17.42,14.98,2.44,19.46,0,6.57,7.65,1.12,47.78
"06075020401","Census Tract 204.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"020401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075020401","Census Tract 204.01",,,,2499,530,397,133,690,6,88,62,67,1056,21.21,15.89,5.32,27.61,0.24,3.52,2.48,2.68,42.26
"06075020402","Census Tract 204.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"020402",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075020402","Census Tract 204.02",,,,2858,1209,989,220,583,82,17,95,39,833,42.3,34.6,7.7,20.4,2.87,0.59,3.32,1.36,29.15
"06075020500","Census Tract 205, San Francisco County, California","ca","140","00",,,,"06","075",,,"020500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075020500","Census Tract 205",,,,1689,439,356,83,461,0,21,140,64,564,25.99,21.08,4.91,27.29,0,1.24,8.29,3.79,33.39
"06075020601","Census Tract 206.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"020601",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075020601","Census Tract 206.01",,,,2247,698,531,167,737,0,83,88,0,641,31.06,23.63,7.43,32.8,0,3.69,3.92,0,28.53
"06075020602","Census Tract 206.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"020602",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075020602","Census Tract 206.02",,,,1297,373,268,105,209,0,78,127,0,510,28.76,20.66,8.1,16.11,0,6.01,9.79,0,39.32
"06075020701","Census Tract 207.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"020701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075020701","Census Tract 207.01",,,,2086,469,435,34,625,0,103,183,15,691,22.48,20.85,1.63,29.96,0,4.94,8.77,0.72,33.13
"06075020702","Census Tract 207.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"020702",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075020702","Census Tract 207.02",,,,1416,347,326,21,341,0,49,136,0,543,24.51,23.02,1.48,24.08,0,3.46,9.6,0,38.35
"06075020801","Census Tract 208.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"020801",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075020801","Census Tract 208.01",,,,2059,559,554,5,744,0,178,166,49,363,27.15,26.91,0.24,36.13,0,8.64,8.06,2.38,17.63
"06075020802","Census Tract 208.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"020802",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075020802","Census Tract 208.02",,,,1464,133,133,0,721,13,60,155,15,367,9.08,9.08,0,49.25,0.89,4.1,10.59,1.02,25.07
"06075020900","Census Tract 209, San Francisco County, California","ca","140","00",,,,"06","075",,,"020900",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075020900","Census Tract 209",,,,2299,519,419,100,946,17,123,87,0,607,22.58,18.23,4.35,41.15,0.74,5.35,3.78,0,26.4
"06075021000","Census Tract 210, San Francisco County, California","ca","140","00",,,,"06","075",,,"021000",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075021000","Census Tract 210",,,,2271,735,575,160,660,15,188,82,19,572,32.36,25.32,7.05,29.06,0.66,8.28,3.61,0.84,25.19
"06075021100","Census Tract 211, San Francisco County, California","ca","140","00",,,,"06","075",,,"021100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075021100","Census Tract 211",,,,2834,646,607,39,785,35,136,154,32,1046,22.79,21.42,1.38,27.7,1.24,4.8,5.43,1.13,36.91
"06075021200","Census Tract 212, San Francisco County, California","ca","140","00",,,,"06","075",,,"021200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075021200","Census Tract 212",,,,1672,515,461,54,340,11,36,48,107,615,30.8,27.57,3.23,20.33,0.66,2.15,2.87,6.4,36.78
"06075021300","Census Tract 213, San Francisco County, California","ca","140","00",,,,"06","075",,,"021300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075021300","Census Tract 213",,,,1683,795,747,48,240,0,39,38,9,562,47.24,44.39,2.85,14.26,0,2.32,2.26,0.53,33.39
"06075021400","Census Tract 214, San Francisco County, California","ca","140","00",,,,"06","075",,,"021400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075021400","Census Tract 214",,,,2294,623,575,48,351,29,184,91,39,977,27.16,25.07,2.09,15.3,1.26,8.02,3.97,1.7,42.59
"06075021500","Census Tract 215, San Francisco County, California","ca","140","00",,,,"06","075",,,"021500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075021500","Census Tract 215",,,,3628,1090,1011,79,1166,0,283,37,80,972,30.04,27.87,2.18,32.14,0,7.8,1.02,2.21,26.79
"06075021600","Census Tract 216, San Francisco County, California","ca","140","00",,,,"06","075",,,"021600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075021600","Census Tract 216",,,,2653,963,923,40,333,0,24,9,14,1310,36.3,34.79,1.51,12.55,0,0.9,0.34,0.53,49.38
"06075021700","Census Tract 217, San Francisco County, California","ca","140","00",,,,"06","075",,,"021700",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075021700","Census Tract 217",,,,2146,821,597,224,390,44,56,35,0,800,38.26,27.82,10.44,18.17,2.05,2.61,1.63,0,37.28
"06075021800","Census Tract 218, San Francisco County, California","ca","140","00",,,,"06","075",,,"021800",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075021800","Census Tract 218",,,,2532,755,691,64,371,50,103,83,61,1109,29.82,27.29,2.53,14.65,1.97,4.07,3.28,2.41,43.8
"06075022600","Census Tract 226, San Francisco County, California","ca","140","00",,,,"06","075",,,"022600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075022600","Census Tract 226",,,,3529,790,652,138,577,18,268,747,141,988,22.39,18.48,3.91,16.35,0.51,7.59,21.17,4,28
"06075022702","Census Tract 227.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"022702",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075022702","Census Tract 227.02",,,,1478,375,321,54,167,0,117,202,0,617,25.37,21.72,3.65,11.3,0,7.92,13.67,0,41.75
"06075022704","Census Tract 227.04, San Francisco County, California","ca","140","00",,,,"06","075",,,"022704",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075022704","Census Tract 227.04",,,,2573,993,838,155,195,16,202,151,30,986,38.59,32.57,6.02,7.58,0.62,7.85,5.87,1.17,38.32
"06075022801","Census Tract 228.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"022801",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075022801","Census Tract 228.01",,,,2714,1010,892,118,473,0,169,275,33,754,37.21,32.87,4.35,17.43,0,6.23,10.13,1.22,27.78
