"FIPS","Qualifying Name","State Postal Abbreviation","Summary Level","Geographic Component","US","Census Region","Census Division","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Statistical Area Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Combined Statistical Area","New England City and Town Area Division","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Total Population","Total Population:","Total Population: Under 18 Years","Total Population: 18 to 34 Years","Total Population: 35 to 64 Years","Total Population: 65 and Over","% Total Population: Under 18 Years","% Total Population: 18 to 34 Years","% Total Population: 35 to 64 Years","% Total Population: 65 and Over","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","% Total Population: White Alone","% Total Population: Black or African American Alone","% Total Population: American Indian and Alaska Native Alone","% Total Population: Asian Alone","% Total Population: Native Hawaiian and Other Pacific Islander Alone","% Total Population: Some Other Race Alone","% Total Population: Two or More Races","Occupied Housing Units","Occupied Housing Units: With Related Children of the Householder Under 18","Occupied Housing Units: With Related Children of the Householder Under 18: With Own Children of the Householder Under 18","Occupied Housing Units: With Related Children of the Householder Under 18: With Own Children of the Householder Under 18: Under 6 Years Only","Occupied Housing Units: With Related Children of the Householder Under 18: With Own Children of the Householder Under 18: Under 6 Years and 6 to 17 Years","Occupied Housing Units: With Related Children of the Householder Under 18: With Own Children of the Householder Under 18: 6 to 17 Years","Occupied Housing Units: With Related Children of the Householder Under 18: No Own Children of the Householder Under 18","Occupied Housing Units: No Related Children of the Householder Under 18","% Occupied Housing Units: With Related Children of the Householder Under 18","% Occupied Housing Units: With Related Children of the Householder Under 18: With Own Children of the Householder Under 18","% Occupied Housing Units: With Related Children of the Householder Under 18: With Own Children of the Householder Under 18: Under 6 Years Only","% Occupied Housing Units: With Related Children of the Householder Under 18: With Own Children of the Householder Under 18: Under 6 Years and 6 to 17 Years","% Occupied Housing Units: With Related Children of the Householder Under 18: With Own Children of the Householder Under 18: 6 to 17 Years","% Occupied Housing Units: With Related Children of the Householder Under 18: No Own Children of the Householder Under 18","% Occupied Housing Units: No Related Children of the Householder Under 18","Median Household Income (In 2023 Inflation Adjusted Dollars)","Median Family Income (In 2023 Inflation Adjusted Dollars)","Population Under 18 Years of Age for Whom Poverty Status Is Determined:","Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty","Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level","% Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty","% Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level","Occupied Housing Units","Occupied Housing Units: No Vehicle Available","Occupied Housing Units: 1 Vehicle Available","Occupied Housing Units: 2 Vehicles Available","Occupied Housing Units: 3 Vehicles Available","Occupied Housing Units: 4 Vehicles Available","Occupied Housing Units: 5 or More Vehicles Available","% Occupied Housing Units: No Vehicle Available","% Occupied Housing Units: 1 Vehicle Available","% Occupied Housing Units: 2 Vehicles Available","% Occupied Housing Units: 3 Vehicles Available","% Occupied Housing Units: 4 Vehicles Available","% Occupied Housing Units: 5 or More Vehicles Available"
"06075010701","Census Tract 107.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010701","Census Tract 107.01",,,,3280,3280,175,406,1412,1287,5.34,12.38,43.05,39.24,3280,192,0,0,3039,0,10,39,5.85,0,0,92.65,0,0.3,1.19,1834,165,165,0,0,165,0,1669,9,9,0,0,9,0,91,27531,32732,175,39,136,22.29,77.71,1834,1547,260,27,0,0,0,84.35,14.18,1.47,0,0,0
"06075010702","Census Tract 107.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010702",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010702","Census Tract 107.02",,,,1380,1380,170,326,648,236,12.32,23.62,46.96,17.1,1380,357,0,37,692,0,197,97,25.87,0,2.68,50.14,0,14.28,7.03,674,116,116,51,0,65,0,558,17.21,17.21,7.57,0,9.64,0,82.79,80472,,170,107,63,62.94,37.06,674,311,280,83,0,0,0,46.14,41.54,12.31,0,0,0
"06075010800","Census Tract 108, San Francisco County, California","ca","140","00",,,,"06","075",,,"010800",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010800","Census Tract 108",,,,4334,4334,86,1417,1833,998,1.98,32.69,42.29,23.03,4334,2089,377,0,1416,0,201,251,48.2,8.7,0,32.67,0,4.64,5.79,2382,67,46,0,0,46,21,2315,2.81,1.93,0,0,1.93,0.88,97.19,150298,199219,86,0,86,0,100,2382,684,1203,423,72,0,0,28.72,50.5,17.76,3.02,0,0
"06075010901","Census Tract 109.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010901",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010901","Census Tract 109.01",,,,2069,2069,131,969,656,313,6.33,46.83,31.71,15.13,2069,1400,9,27,364,0,25,244,67.67,0.43,1.3,17.59,0,1.21,11.79,1071,69,69,18,23,28,0,1002,6.44,6.44,1.68,2.15,2.61,0,93.56,190139,250001,131,0,131,0,100,1071,400,481,136,54,0,0,37.35,44.91,12.7,5.04,0,0
"06075010902","Census Tract 109.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010902","Census Tract 109.02",,,,2568,2568,171,1111,881,405,6.66,43.26,34.31,15.77,2568,1723,0,0,407,0,96,342,67.1,0,0,15.85,0,3.74,13.32,1452,125,125,12,0,113,0,1327,8.61,8.61,0.83,0,7.78,0,91.39,141591,179297,171,36,135,21.05,78.95,1452,889,436,111,16,0,0,61.23,30.03,7.64,1.1,0,0
"06075011001","Census Tract 110.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"011001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011001","Census Tract 110.01",,,,2327,2327,100,894,853,480,4.3,38.42,36.66,20.63,2327,1491,0,0,781,0,45,10,64.07,0,0,33.56,0,1.93,0.43,1405,103,103,84,0,19,0,1302,7.33,7.33,5.98,0,1.35,0,92.67,117750,,100,0,100,0,100,1405,714,499,148,44,0,0,50.82,35.52,10.53,3.13,0,0
"06075011002","Census Tract 110.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"011002",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011002","Census Tract 110.02",,,,1755,1755,123,589,793,250,7.01,33.56,45.19,14.25,1755,725,0,0,695,0,122,213,41.31,0,0,39.6,0,6.95,12.14,1129,93,93,23,0,70,0,1036,8.24,8.24,2.04,0,6.2,0,91.76,155575,156714,123,0,123,0,100,1129,382,648,99,0,0,0,33.84,57.4,8.77,0,0,0
"06075011101","Census Tract 111.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"011101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011101","Census Tract 111.01",,,,2470,2470,140,835,1002,493,5.67,33.81,40.57,19.96,2470,1236,76,0,967,0,18,173,50.04,3.08,0,39.15,0,0.73,7,1473,87,73,32,14,27,14,1386,5.91,4.96,2.17,0.95,1.83,0.95,94.09,112418,121820,140,0,140,0,100,1473,798,590,85,0,0,0,54.18,40.05,5.77,0,0,0
"06075011102","Census Tract 111.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"011102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011102","Census Tract 111.02",,,,2205,2205,116,854,830,405,5.26,38.73,37.64,18.37,2205,731,244,5,894,0,203,128,33.15,11.07,0.23,40.54,0,9.21,5.8,1312,93,93,60,0,33,0,1219,7.09,7.09,4.57,0,2.52,0,92.91,101976,151461,116,0,116,0,100,1312,951,344,17,0,0,0,72.48,26.22,1.3,0,0,0
"06075011200","Census Tract 112, San Francisco County, California","ca","140","00",,,,"06","075",,,"011200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011200","Census Tract 112",,,,2678,2678,166,877,949,686,6.2,32.75,35.44,25.62,2678,1382,50,0,974,0,55,217,51.61,1.87,0,36.37,0,2.05,8.1,1633,120,120,45,17,58,0,1513,7.35,7.35,2.76,1.04,3.55,0,92.65,118347,183182,166,55,111,33.13,66.87,1633,927,560,136,10,0,0,56.77,34.29,8.33,0.61,0,0
