Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001,SE_A10030_001,SE_A10030_002,SE_A10030_003,SE_A10030_004,SE_A10030_005,SE_A10030_006,SE_A10030_007,PCT_SE_A10030_002,PCT_SE_A10030_003,PCT_SE_A10030_004,PCT_SE_A10030_005,PCT_SE_A10030_006,PCT_SE_A10030_007
"06075047902","Census Tract 479.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"047902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075047902","Census Tract 479.02",,,,126058,1517,243,700,497,53,24,0,16.02,46.14,32.76,3.49,1.58,0
"06075047903","Census Tract 479.03, San Francisco County, California","ca","140","00",,,,"06","075",,,"047903",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075047903","Census Tract 479.03",,,,148800,1378,150,823,255,38,112,0,10.89,59.72,18.51,2.76,8.13,0
"06075047904","Census Tract 479.04, San Francisco County, California","ca","140","00",,,,"06","075",,,"047904",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075047904","Census Tract 479.04",,,,87494,1469,463,524,396,51,8,27,31.52,35.67,26.96,3.47,0.54,1.84
"06075060100","Census Tract 601, San Francisco County, California","ca","140","00",,,,"06","075",,,"060100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075060100","Census Tract 601",,,,236190,1338,70,632,444,158,34,0,5.23,47.23,33.18,11.81,2.54,0
"06075060400","Census Tract 604, San Francisco County, California","ca","140","00",,,,"06","075",,,"060400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075060400","Census Tract 604",,,,100583,1026,117,646,254,9,0,0,11.4,62.96,24.76,0.88,0,0
"06075060502","Census Tract 605.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"060502",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075060502","Census Tract 605.02",,,,42548,925,215,365,200,45,50,50,23.24,39.46,21.62,4.86,5.41,5.41
"06075060701","Census Tract 607.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"060701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075060701","Census Tract 607.01",,,,248177,3343,829,2283,124,107,0,0,24.8,68.29,3.71,3.2,0,0
"06075060702","Census Tract 607.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"060702",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075060702","Census Tract 607.02",,,,107989,1349,469,694,186,0,0,0,34.77,51.45,13.79,0,0,0
"06075060703","Census Tract 607.03, San Francisco County, California","ca","140","00",,,,"06","075",,,"060703",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075060703","Census Tract 607.03",,,,191910,2784,923,1800,61,0,0,0,33.15,64.66,2.19,0,0,0
"06075061000","Census Tract 610, San Francisco County, California","ca","140","00",,,,"06","075",,,"061000",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061000","Census Tract 610",,,,125327,1625,100,701,649,90,63,22,6.15,43.14,39.94,5.54,3.88,1.35
