OBJECTID,GF_SEQ_ID,BATCH_ID,ACTION,LAMP_1_ACTION,LAMP_2_ACTION,LAMP_3_ACTION,ASSETNUM,POLE_TYPE,POLE_NUMBER,POLE_OWNER,ARM_LENGTH,MATERIAL,MATERIAL_REF_ID,POSITION_X,POSITION_Y,L1_WATT,L1_TYPE,L1_LUMINAIRE,L1_SIDE,L1_RTI_ID,L2_WATT,L2_TYPE,L2_LUMINAIRE,L2_SIDE,L2_RTI_ID,L3_WATT,L3_TYPE,L3_LUMINAIRE,L3_SIDE,L3_RTI_ID,STREET_NAME,STREET_TYPE,STREET_ADDRESS,STREET_BLOCK,ASSESSOR_PARCEL_NUMBER,PROJECT,NOTES,STATUS,DISTRICT,NEIGHBORHOOD,EQUIPMENT_ACCEPT_DT,ASSET_DATA_INTEGRATION_DT,EQUIPMENT_CHANGE_DT,EQUIPMENT_REMOVE_DT,CALC_EQUIPMENT_ACCEPT_DT,CALC_EQUIPMENT_CHANGE_DT,CALC_EQUIPMENT_REMOVE_DT,CALC_EQUIPMENT_ACCEPT_IP_ID,CALC_EQUIPMENT_CHANGE_IP_ID,CALC_EQUIPMENT_REMOVE_IP_ID,CALC_DATA_INTEGRATION_DT,GLOBALID,CreationDate,Creator,EditDate,Editor,geometryType,x,y,crs,Longitude,Latitude
168694,14436,1279,none,none,none,none,J03P0043,TP-StdSteel,303,,,Steel,,5985106.8419,2105642.2579,54,LED,RoadFocus,R,5711,,,,,,,,,,,JUDAH,ST,3025,3000.0,1800.0,LED SLight Conversion Project..,,ACTIVE,4.0,Neighborhood),,,1498824060000.0,,,,,,,,,59485f92-d66a-4d5c-95ca-ad361717d58f,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5985106.841875,2105642.258125,102643,53.76512953144632,18.580789151281667
168695,14437,1279,none,none,none,none,J03P0044,TP-StdSteel,304,,,Steel,,5985102.949,2105709.2453,54,LED,RoadFocus,R,5711,,,,,,,,,,,JUDAH,ST,3024,3000.0,1700.0,LED SLight Conversion Project..,,ACTIVE,4.0,Neighborhood),,,1498824060000.0,,,,,,,,,24d3ef4d-557c-42ba-9670-7abe5b4e8870,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5985102.94875,2105709.245,102643,53.76509455890942,18.581359537452435
168696,14438,1279,none,none,none,none,J03P0045,TP-StdSteel,305,,,Steel,,5985009.3674,2105638.9455,54,LED,RoadFocus,R,5711,,,,,,,,,,,JUDAH,ST,,3000.0,1800.0,LED SLight Conversion Project..,,ACTIVE,4.0,Neighborhood),,,1498824060000.0,,,,,,,,,37154381-3a0f-4134-a46d-68e0d602f91a,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5985009.3675,2105638.945625,102643,53.76425390423759,18.580760945644244
168697,14439,1279,none,none,none,none,J03P0046,TP-StdSteel,306,,,Steel,,5985007.443,2105705.9105,54,LED,RoadFocus,R,5711,,,,,,,,,,,JUDAH,ST,3030,3000.0,1700.0,LED SLight Conversion Project..,,ACTIVE,4.0,Neighborhood),,,1498824060000.0,,,,,,,,,4fd47d04-e440-4a56-9e64-5f5b65312eb1,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5985007.443125,2105705.910625,102643,53.76423661728285,18.581331145646367
168698,14442,1279,none,none,none,none,J03P0049,TP-StdSteel,313,,,Steel,,5984700.1815,2105627.9076,54,LED,RoadFocus,R,5711,,,,,,,,,,,JUDAH,ST,,3100.0,1800.0,LED SLight Conversion Project-Sunset Blvd,,ACTIVE,4.0,Neighborhood),,,1497441660000.0,,,,,,,,,6fab18c3-0848-4f5f-958f-7aff5179924c,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5984700.18125,2105627.9075,102643,53.76147643689745,18.580666956976103
168699,14247,1279,none,none,none,none,I13P0169,SL-MBRndSteel,197,,,Steel,,6015163.9718,2106311.4222,150,MH,OMEGA SERIES,R,5063,,,,,,,,,,,04TH,ST,,,,MB-Fourth St. Public Improvements,"Determination of Completeness..
(asof 2019Jun12)",ACTIVE,,,1560340860000.0,1592308860000.0,,,,,,,,,,0d46a935-3aca-4f21-a88e-77707662f174,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,6015163.971875,2106311.4225,102643,54.035137324204,18.58648692959541
168700,14440,1279,none,none,none,none,J03P0047,TP-StdSteel,311,,,Steel,,5984907.5139,2105635.6324,54,LED,RoadFocus,R,5711,,,,,,,,,,,JUDAH,ST,,3100.0,1800.0,LED SLight Conversion Project..,,ACTIVE,4.0,Neighborhood),,,1498824060000.0,,,,,,,,,e7866ea0-38ef-459f-b37e-b5e2d1715cab,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5984907.51375,2105635.6325,102643,53.7633389364339,18.580732734680325
168701,14441,1279,none,none,none,none,J03P0048,TP-StdSteel,312,,,Steel,,5984905.7455,2105702.1301,54,LED,RoadFocus,R,5711,,,,,,,,,,,JUDAH,ST,,3100.0,1700.0,LED SLight Conversion Project..,,ACTIVE,4.0,Neighborhood),,,1498824060000.0,,,,,,,,,13d49550-afc1-4c6a-9069-4fa96b6fe0bb,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5984905.745625,2105702.13,102643,53.763323053096784,18.581298954068966
168702,14443,1279,none,none,none,none,J03P0050,TP-StdSteel,314,,,Steel,,5984684.999,2105695.1448,54,LED,RoadFocus,R,5711,,,,,,,,,,,JUDAH,ST,,3100.0,1700.0,LED SLight Conversion Project-Sunset Blvd,,ACTIVE,4.0,Neighborhood),,,1497441660000.0,,,,,,,,,86a21d3e-6cd0-4e0f-aba2-f397e3071ab1,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5984684.99875,2105695.145,102643,53.76134005017944,18.581239477599176
168703,14444,1279,none,none,none,none,J03P0051,TP-StdSteel,321,,,Steel,,5984598.2865,2105624.8161,54,LED,RoadFocus,R,5711,,,,,,,,,,,JUDAH,ST,3201,3200.0,1800.0,LED SLight Conversion Project..,,ACTIVE,4.0,Neighborhood),,,1498824060000.0,,,,,,,,,42514055-ff32-48f6-b006-f3330d9f6907,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5984598.28625,2105624.81625,102643,53.760561098538695,18.580640635243657
