School Name,School Latitude,School Longitude,Stop ID,Stop Latitude,Stop Longitude,Distance (miles)
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,4422,37.78316,-122.439526,0.15534459314503318
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,4434,37.785338,-122.439813,0.22284975047876898
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,4435,37.78515,-122.439939,0.2202853551582302
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,4474,37.780546,-122.438759,0.2189807289890475
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,4487,37.781081,-122.435515,0.16373995835435326
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,4488,37.780929,-122.435709,0.16977302090717863
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,4491,37.780876,-122.437165,0.1667254698657831
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,4492,37.780724,-122.43736,0.17896392711032416
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,4614,37.784733,-122.432921,0.22988481963577476
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,4615,37.783984,-122.43291,0.21283262207159
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,4633,37.783193,-122.432627,0.22250432057535063
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,4634,37.783019,-122.432699,0.21916197552765668
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,4760,37.783847,-122.437761,0.07104162822296933
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,4761,37.783624,-122.437669,0.059009893459643095
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,6589,37.78531,-122.439732,0.2182147605775579
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,6590,37.785259,-122.43943,0.20348873558597214
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,6607,37.78552,-122.438078,0.17312454108009045
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,6608,37.785402,-122.438322,0.1723721381314958
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,6609,37.785942,-122.434793,0.2119081067131396
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,6610,37.785794,-122.435028,0.1968035876713818
Galileo High School,37.803791,-122.424149,3093,37.806375,-122.423195,0.185701211007348
Galileo High School,37.803791,-122.424149,3957,37.802199,-122.424894,0.11712097799457108
Galileo High School,37.803791,-122.424149,4845,37.806348,-122.422083,0.20947664364230742
Galileo High School,37.803791,-122.424149,5059,37.804795,-122.4201,0.2321343849127579
Galileo High School,37.803791,-122.424149,5060,37.804777,-122.420261,0.22335972208965232
Galileo High School,37.803791,-122.424149,5067,37.802912,-122.419883,0.2411870171823468
Galileo High School,37.803791,-122.424149,5080,37.805633,-122.420272,0.247280757872738
Galileo High School,37.803791,-122.424149,5081,37.805705,-122.420455,0.2414236048834402
Galileo High School,37.803791,-122.424149,5459,37.805633,-122.420467,0.2381890743883604
Galileo High School,37.803791,-122.424149,5464,37.80559,-122.42189,0.1751419068518528
Galileo High School,37.803791,-122.424149,5468,37.805313,-122.423987,0.10534252522078769
Galileo High School,37.803791,-122.424149,5469,37.805241,-122.423494,0.10623234200929327
Galileo High School,37.803791,-122.424149,5472,37.805045,-122.42495,0.09695854669430859
Galileo High School,37.803791,-122.424149,5987,37.803653,-122.423231,0.05112818087710697
Galileo High School,37.803791,-122.424149,5988,37.80353,-122.42341,0.0442646961104159
Galileo High School,37.803791,-122.424149,5990,37.80167,-122.42303,0.15858004793821875
Galileo High School,37.803791,-122.424149,5991,37.801476,-122.422796,0.17599215418887018
Galileo High School,37.803791,-122.424149,5992,37.805018,-122.4237,0.08811806572930675
Galileo High School,37.803791,-122.424149,6800,37.80258,-122.42464,0.0877353423507551
Galileo High School,37.803791,-122.424149,6801,37.802431,-122.424905,0.10251427061184572
Galileo High School,37.803791,-122.424149,6806,37.804287,-122.424996,0.05760576143112084
Galileo High School,37.803791,-122.424149,6819,37.80485,-122.42546,0.10237647074869069
Galileo High School,37.803791,-122.424149,6820,37.805072,-122.42542,0.11243929280813812
Galileo High School,37.803791,-122.424149,7476,37.80484,-122.425352,0.0978143874271828
Galileo High School,37.803791,-122.424149,7529,37.803484,-122.423368,0.047694972357290255
Galileo High School,37.803791,-122.424149,7857,37.801914,-122.427955,0.24522572792009062
