Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Supervisor District 2012,Latitude,Longitude,Point,Neighborhoods,ESNCAG - Boundary File,Central Market/Tenderloin Boundary Polygon - Updated,Civic Center Harm Reduction Project Boundary,HSOC Zones as of 2018-06-05,Invest In Neighborhoods (IIN) Areas,Current Supervisor Districts,Current Police Districts
2024/09/06 04:00:00 PM,2024/09/06,04:00 PM,2024,Friday,2024/09/06 05:32:00 PM,142190971013,1421909,240562082,242502724.0,VI,Vehicle Initial,,71013,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",Open or Active,GIANTS DR \ GILMAN AVE,20097000.0,Bayview,Bayview Hunters Point,10.0,10.0,37.71751022338867,-122.38684844970705,POINT (-122.38684844970703 37.71751022338867),88.0,,,,,,9.0,2.0
2024/05/13 05:30:00 PM,2024/05/13,05:30 PM,2024,Monday,2024/05/13 07:40:00 PM,139013706242,1390137,240301658,241342716.0,II,Initial,,6242,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $50-$200",Open or Active,18TH ST \ CASTRO ST,25813000.0,Mission,Castro/Upper Market,8.0,8.0,37.760887145996094,-122.43499755859376,POINT (-122.43499755859375 37.760887145996094),38.0,,,,5.0,,5.0,3.0
2024/05/06 04:00:00 PM,2024/05/06,04:00 PM,2024,Monday,2024/05/09 02:09:00 PM,138974106244,1389741,246061644,,II,Coplogic Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,18TH ST \ CASTRO ST,25813000.0,Mission,Castro/Upper Market,8.0,8.0,37.760887145996094,-122.43499755859376,POINT (-122.43499755859375 37.760887145996094),38.0,,,,5.0,,5.0,3.0
2024/05/13 05:50:00 PM,2024/05/13,05:50 PM,2024,Monday,2024/05/13 06:13:00 PM,139012904014,1390129,240301777,241342868.0,II,Initial,,4014,Assault,Aggravated Assault,"Assault, Aggravated, W/ Force",Open or Active,18TH ST \ MISSION ST,24149000.0,Mission,Mission,9.0,9.0,37.761837005615234,-122.41935729980467,POINT (-122.41935729980469 37.761837005615234),53.0,,,,3.0,,2.0,3.0
2024/05/10 05:00:00 PM,2024/05/10,05:00 PM,2024,Friday,2024/05/13 11:43:00 AM,139000304134,1390003,240300713,241341300.0,II,Initial,,4134,Assault,Simple Assault,Battery,Open or Active,EDDY ST \ POLK ST,25176000.0,Tenderloin,Tenderloin,5.0,6.0,37.78310012817383,-122.41918182373048,POINT (-122.41918182373047 37.78310012817383),20.0,,1.0,1.0,,,10.0,4.0
2024/05/14 03:58:00 PM,2024/05/14,03:58 PM,2024,Tuesday,2024/05/14 03:58:00 PM,139040119095,1390401,240303905,241352305.0,II,Initial,,19095,Disorderly Conduct,Drug Violation,"Drugs, Under Influence  in a Public Place",Cite or Arrest Adult,07TH ST \ MISSION ST,24315000.0,Southern,South of Market,6.0,6.0,37.77921295166016,-122.4109344482422,POINT (-122.41093444824219 37.779212951660156),32.0,,1.0,1.0,1.0,,10.0,1.0
2024/04/26 04:42:00 PM,2024/04/26,04:42 PM,2024,Friday,2024/05/15 02:00:00 PM,139059804134,1390598,240263581,241172418.0,IS,Initial Supplement,,4134,Assault,Simple Assault,Battery,Cite or Arrest Adult,45TH AVE \ CABRILLO ST,27972000.0,Richmond,Outer Richmond,1.0,1.0,37.77345657348633,-122.50574493408205,POINT (-122.50574493408203 37.77345657348633),8.0,,,,,,4.0,8.0
2024/08/05 04:15:00 PM,2024/08/05,04:15 PM,2024,Monday,2024/09/05 02:32:00 PM,142205806374,1422058,246117093,,II,Coplogic Initial,True,6374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,12TH AVE \ BALBOA ST,27297000.0,Richmond,Inner Richmond,1.0,1.0,37.77694320678711,-122.4704360961914,POINT (-122.4704360961914 37.77694320678711),5.0,,,,,,4.0,8.0
2024/05/16 05:00:00 PM,2024/05/16,05:00 PM,2024,Thursday,2024/05/16 07:22:00 PM,139100504134,1391005,240308767,241373005.0,II,Initial,,4134,Assault,Simple Assault,Battery,Open or Active,EDDY ST \ POLK ST,25176000.0,Tenderloin,Tenderloin,5.0,6.0,37.78310012817383,-122.41918182373048,POINT (-122.41918182373047 37.78310012817383),20.0,,1.0,1.0,,,10.0,4.0
2024/04/24 04:00:00 PM,2024/04/24,04:00 PM,2024,Wednesday,2024/05/15 12:57:00 PM,139058606152,1390586,240305707,241361647.0,II,Initial,,6152,Larceny Theft,Larceny Theft - Other,"Theft, From Person, $50-$200 (other than Pickpocket)",Open or Active,GEARY ST \ STOCKTON ST,24901000.0,Central,Financial District/South Beach,3.0,3.0,37.78756713867188,-122.4065933227539,POINT (-122.4065933227539 37.787567138671875),19.0,,,,,,3.0,6.0
2024/05/16 05:56:00 PM,2024/05/16,05:56 PM,2024,Thursday,2024/05/16 08:08:00 PM,139102806363,1391028,240308842,241372913.0,II,Initial,,6363,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $200-$950",Cite or Arrest Adult,OFARRELL ST \ POWELL ST,24904000.0,Central,Tenderloin,3.0,3.0,37.78641128540039,-122.40803527832033,POINT (-122.40803527832031 37.78641128540039),19.0,,,,,,3.0,6.0
2024/05/16 04:20:00 PM,2024/05/16,04:20 PM,2024,Thursday,2024/05/16 04:31:00 PM,139097606244,1390976,240308416,241372383.0,II,Initial,,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Cite or Arrest Adult,BEACH ST \ LARKIN ST,25586000.0,Central,Russian Hill,2.0,2.0,37.806434631347656,-122.42219543457033,POINT (-122.42219543457031 37.806434631347656),98.0,,,,,,6.0,6.0
2024/09/06 04:00:00 PM,2024/09/06,04:00 PM,2024,Friday,2024/09/08 05:16:00 PM,142248519057,1422485,240566272,242522132.0,II,Initial,,19057,Disorderly Conduct,Intimidation,Terrorist Threats,Open or Active,03RD ST \ MENDELL ST \ PALOU AVE,33269000.0,Bayview,Bayview Hunters Point,10.0,10.0,37.734012603759766,-122.3909683227539,POINT (-122.3909683227539 37.734012603759766),86.0,,,,,,9.0,2.0
2024/08/08 06:49:00 AM,2024/08/08,06:49 AM,2024,Thursday,2024/09/08 06:49:00 AM,142236506362,1422365,240565111,242520570.0,II,Initial,,6362,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $50-$200",Cite or Arrest Adult,18TH ST \ CASTRO ST,25813000.0,Mission,Castro/Upper Market,8.0,8.0,37.760887145996094,-122.43499755859376,POINT (-122.43499755859375 37.760887145996094),38.0,,,,5.0,,5.0,3.0
