route_id,agency_id,route_short_name,route_long_name,route_url,route_desc,route_type,route_color,route_text_color,route_sort_order
1,SFMTA,1,CALIFORNIA,https://SFMTA.com/1,5am-12 midnight daily,3,005B95 ,FFFFFF,
12,SFMTA,12,FOLSOM-PACIFIC,https://SFMTA.com/12,6am-10pm daily,3,005B95 ,FFFFFF,
14,SFMTA,14,MISSION,https://SFMTA.com/14,24 hour service daily,3,005B95 ,FFFFFF,
14R,SFMTA,14R,MISSION RAPID,https://SFMTA.com/14R,5am-10pm daily,3,BF2B45 ,FFFFFF,
15,SFMTA,15,BAYVIEW HUNTERS POINT EXPRESS,https://SFMTA.com/15,Weekdays 5am-10pm Weekends 8am-10pm,3,005B95 ,FFFFFF,
18,SFMTA,18,46TH AVENUE,https://SFMTA.com/18,6am-10pm daily,3,005B95 ,FFFFFF,
19,SFMTA,19,POLK,https://SFMTA.com/19,5am-10pm daily,3,005B95 ,FFFFFF,
1X,SFMTA,1X,CALIFORNIA EXPRESS,https://SFMTA.com/1X,Weekday peak hours only,3,BF2B45 ,FFFFFF,
2,SFMTA,2,SUTTER,https://SFMTA.com/2,6:30am-7pm daily,3,005B95 ,FFFFFF,
21,SFMTA,21,HAYES,https://SFMTA.com/21,5am-10pm daily,3,005B95 ,FFFFFF,
22,SFMTA,22,FILLMORE,https://SFMTA.com/22,24 hour service daily,3,005B95 ,FFFFFF,
23,SFMTA,23,MONTEREY,https://SFMTA.com/23,6am-10pm daily,3,005B95 ,FFFFFF,
24,SFMTA,24,DIVISADERO,https://SFMTA.com/24,5am-12:30am daily (Between Sutter St. and Bayshore Bl. 24 hours daily),3,005B95 ,FFFFFF,
25,SFMTA,25,TREASURE ISLAND,https://SFMTA.com/25,24 hour service daily,3,005B95 ,FFFFFF,
27,SFMTA,27,BRYANT,https://SFMTA.com/27,5am-10pm daily,3,005B95 ,FFFFFF,
28,SFMTA,28,19TH AVENUE,https://SFMTA.com/28,5am-12 midnight daily,3,005B95 ,FFFFFF,
28R,SFMTA,28R,19TH AVENUE RAPID,https://SFMTA.com/28R,Weedays 7am-7pm,3,BF2B45 ,FFFFFF,
29,SFMTA,29,SUNSET,https://SFMTA.com/29,5am-12 midnight daily,3,005B95 ,FFFFFF,
30,SFMTA,30,STOCKTON,https://SFMTA.com/30,Weedays 5am-12 midnight Weekends 6am-12 midnight,3,005B95 ,FFFFFF,
31,SFMTA,31,BALBOA,https://SFMTA.com/31,5am-10pm daily,3,005B95 ,FFFFFF,
33,SFMTA,33,ASHBURY-18TH ST,https://SFMTA.com/33,5am-10pm daily,3,005B95 ,FFFFFF,
35,SFMTA,35,EUREKA,https://SFMTA.com/35,7am-9pm daily,3,005B95 ,FFFFFF,
36,SFMTA,36,TERESITA,https://SFMTA.com/36,Weekdays 6am-10pm Weekends 8am-10pm,3,005B95 ,FFFFFF,
37,SFMTA,37,CORBETT,https://SFMTA.com/37,Weekdays 6am-9pm Weekends 9am-9pm,3,005B95 ,FFFFFF,
38,SFMTA,38,GEARY,https://SFMTA.com/38,24 hour service daily,3,005B95 ,FFFFFF,
38R,SFMTA,38R,GEARY RAPID,https://SFMTA.com/38R,Weekdays 5am-10pm Weekends 6am-9pm,3,BF2B45 ,FFFFFF,
39,SFMTA,39,COIT,https://SFMTA.com/39,9am-7pm daily,3,005B95 ,FFFFFF,
43,SFMTA,43,MASONIC,https://SFMTA.com/43,5am-12 midnight daily,3,005B95 ,FFFFFF,
44,SFMTA,44,O'SHAUGHNESSY,https://SFMTA.com/44,5am-midnight daily (East of Glen Park BART 24 hours daily),3,005B95 ,FFFFFF,
45,SFMTA,45,UNION-STOCKTON,https://SFMTA.com/45,5am-10pm daily,3,005B95 ,FFFFFF,
48,SFMTA,48,QUINTARA-24TH STREET,https://SFMTA.com/48,5am-midnight daily (East of Castro St. 24 hours daily),3,005B95 ,FFFFFF,
49,SFMTA,49,VAN NESS-MISSION,https://SFMTA.com/49,5am-12 midnight daily,3,005B95 ,FFFFFF,
5,SFMTA,5,FULTON,https://SFMTA.com/5,5am-1am daily (West of Civic Center 24 hours daily),3,005B95 ,FFFFFF,
52,SFMTA,52,EXCELSIOR,https://SFMTA.com/52,Weekdays 6am-10pm Weekends 8am-10pm,3,005B95 ,FFFFFF,
54,SFMTA,54,FELTON,https://SFMTA.com/54,5am-10pm daily,3,005B95 ,FFFFFF,
