df_index,df2_index,df_coordinates,df2_coordinates,latitude,longitude,df2_latitude,df2_longitude
246,11588,"(37.72119, -122.475153)","(np.float64(37.72118029134752), np.float64(-122.47518946221882))",37.72119,-122.475153,37.72118029134752,-122.47518946221882
264,15468,"(37.751903, -122.425311)","(np.float64(37.75191410050552), np.float64(-122.42530528273136))",37.751903,-122.425311,37.75191410050552,-122.42530528273136
278,3571,"(37.802585, -122.43668)","(np.float64(37.80258442506607), np.float64(-122.4366869360549))",37.802585,-122.43668,37.80258442506607,-122.4366869360549
279,17832,"(37.782516, -122.42427)","(np.float64(37.782521876345015), np.float64(-122.4242376777722))",37.782516,-122.42427,37.782521876345015,-122.4242376777722
280,20752,"(37.777637, -122.455367)","(np.float64(37.77767198999624), np.float64(-122.45535968265696))",37.777637,-122.455367,37.77767198999624,-122.45535968265696
316,24585,"(37.775503, -122.500617)","(np.float64(37.7754875380677), np.float64(-122.50065036311226))",37.775503,-122.500617,37.7754875380677,-122.50065036311226
320,14530,"(37.782621, -122.415856)","(np.float64(37.78263752877545), np.float64(-122.41583639925727))",37.782621,-122.415856,37.78263752877545,-122.41583639925727
324,20235,"(37.77535, -122.503838)","(np.float64(37.77534662634459), np.float64(-122.50388423145225))",37.77535,-122.503838,37.77534662634459,-122.50388423145225
327,5724,"(37.800951, -122.434697)","(np.float64(37.80092300818519), np.float64(-122.4346609705484))",37.800951,-122.434697,37.80092300818519,-122.4346609705484
334,6718,"(37.804447, -122.436958)","(np.float64(37.80447137098381), np.float64(-122.4369172692502))",37.804447,-122.436958,37.80447137098381,-122.4369172692502
336,573,"(37.735164, -122.379323)","(np.float64(37.73514085768026), np.float64(-122.37931180837452))",37.735164,-122.379323,37.73514085768026,-122.37931180837452
337,16517,"(37.780319, -122.479232)","(np.float64(37.78034331814427), np.float64(-122.47924146013654))",37.780319,-122.479232,37.78034331814427,-122.47924146013654
340,23484,"(37.79305, -122.40926)","(np.float64(37.79307243468851), np.float64(-122.40928499784002))",37.79305,-122.40926,37.79307243468851,-122.40928499784002
352,20359,"(37.776528, -122.47813)","(np.float64(37.77651255694495), np.float64(-122.47815791827))",37.776528,-122.47813,37.77651255694495,-122.47815791827
358,22301,"(37.776626, -122.475987)","(np.float64(37.77661064963769), np.float64(-122.4760340928698))",37.776626,-122.475987,37.77661064963769,-122.4760340928698
360,13905,"(37.79199, -122.41749)","(np.float64(37.79201069788161), np.float64(-122.4175108091136))",37.79199,-122.41749,37.79201069788161,-122.4175108091136
363,15205,"(37.777935, -122.409222)","(np.float64(37.77796535848873), np.float64(-122.40920145417148))",37.777935,-122.409222,37.77796535848873,-122.40920145417148
365,854,"(37.752321, -122.418333)","(np.float64(37.75230301313386), np.float64(-122.4183025438695))",37.752321,-122.418333,37.75230301313386,-122.4183025438695
381,4929,"(37.74101, -122.42267)","(np.float64(37.741022186666825), np.float64(-122.42265371604108))",37.74101,-122.42267,37.741022186666825,-122.42265371604108
396,18660,"(37.786158, -122.433151)","(np.float64(37.78617285310953), np.float64(-122.4331465064768))",37.786158,-122.433151,37.78617285310953,-122.4331465064768
403,784,"(37.74827, -122.43177)","(np.float64(37.74827025436009), np.float64(-122.43174042106628))",37.74827,-122.43177,37.74827025436009,-122.43174042106628
405,4442,"(37.74493, -122.43117)","(np.float64(37.74493633331246), np.float64(-122.4311613876484))",37.74493,-122.43117,37.74493633331246,-122.4311613876484
420,8860,"(37.751778, -122.427327)","(np.float64(37.751767935129806), np.float64(-122.42729636084822))",37.751778,-122.427327,37.751767935129806,-122.42729636084822
421,3997,"(37.736304, -122.391522)","(np.float64(37.73628805095019), np.float64(-122.39148238524346))",37.736304,-122.391522,37.73628805095019,-122.39148238524346
442,4124,"(37.801476, -122.422796)","(np.float64(37.80151249129056), np.float64(-122.42277279025151))",37.801476,-122.422796,37.80151249129056,-122.42277279025151
443,24027,"(37.776088, -122.487769)","(np.float64(37.77607513476209), np.float64(-122.48780763718678))",37.776088,-122.487769,37.77607513476209,-122.48780763718678
445,22178,"(37.76932, -122.42903)","(np.float64(37.76933701874869), np.float64(-122.42900666804108))",37.76932,-122.42903,37.76933701874869,-122.42900666804108
449,24924,"(37.766492, -122.397011)","(np.float64(37.76650752996654), np.float64(-122.3970488977472))",37.766492,-122.397011,37.76650752996654,-122.3970488977472
458,5911,"(37.72326, -122.44124)","(np.float64(37.72324481307192), np.float64(-122.44124418972469))",37.72326,-122.44124,37.72324481307192,-122.44124418972469
467,24573,"(37.77624, -122.484296)","(np.float64(37.77622492990686), np.float64(-122.4843330003154))",37.77624,-122.484296,37.77622492990686,-122.4843330003154
474,22345,"(37.780077, -122.484562)","(np.float64(37.78009763772784), np.float64(-122.48459658905062))",37.780077,-122.484562,37.78009763772784,-122.48459658905062
482,1854,"(37.752178, -122.420556)","(np.float64(37.752197361530406), np.float64(-122.42054895695708))",37.752178,-122.420556,37.752197361530406,-122.42054895695708
486,22049,"(37.784792, -122.466819)","(np.float64(37.78478895616491), np.float64(-122.46682989021156))",37.784792,-122.466819,37.78478895616491,-122.46682989021156
490,25103,"(37.76343, -122.47704)","(np.float64(37.763459101230254), np.float64(-122.47701926828718))",37.76343,-122.47704,37.763459101230254,-122.47701926828718
502,1470,"(37.804287, -122.424996)","(np.float64(37.80427649318128), np.float64(-122.42496361876626))",37.804287,-122.424996,37.80427649318128,-122.42496361876626
503,11684,"(37.73978, -122.41199)","(np.float64(37.73978154740181), np.float64(-122.4120039818456))",37.73978,-122.41199,37.73978154740181,-122.4120039818456
504,20760,"(37.777173, -122.463849)","(np.float64(37.77716578819352), np.float64(-122.46380232948522))",37.777173,-122.463849,37.77716578819352,-122.46380232948522
510,3880,"(37.75256, -122.414242)","(np.float64(37.75255070960517), np.float64(-122.41424328753914))",37.75256,-122.414242,37.75255070960517,-122.41424328753914
514,21437,"(37.76871, -122.389377)","(np.float64(37.76869859038998), np.float64(-122.38941972621656))",37.76871,-122.389377,37.76869859038998,-122.38941972621656
537,14612,"(37.775647, -122.497419)","(np.float64(37.77563240802039), np.float64(-122.49745023445828))",37.775647,-122.497419,37.77563240802039,-122.49745023445828
581,22437,"(37.783039, -122.412577)","(np.float64(37.78305548476601), np.float64(-122.41256005609002))",37.783039,-122.412577,37.78305548476601,-122.41256005609002
583,8917,"(37.762635, -122.419348)","(np.float64(37.762662419115095), np.float64(-122.41933860153684))",37.762635,-122.419348,37.762662419115095,-122.41933860153684
585,1299,"(37.74981, -122.43404)","(np.float64(37.74978060202447), np.float64(-122.4340489648167))",37.74981,-122.43404,37.74978060202447,-122.4340489648167
590,20746,"(37.77327, -122.47191)","(np.float64(37.77326034942392), np.float64(-122.47192651528924))",37.77327,-122.47191,37.77326034942392,-122.47192651528924
