df_index,df2_index,df_coordinates,df2_coordinates,route_id,school_name
5173,693,"(37.78007507324219, -122.42024993896484)","(37.780035, -122.420224)",49,Galileo High School
5410,12,"(37.72872924804688, -122.4312973022461)","(37.728723, -122.43132)",49,Galileo High School
5630,515,"(37.78568649291992, -122.42139434814452)","(37.785647, -122.421368)",49,Galileo High School
5637,214,"(37.79855346679688, -122.42398071289062)","(37.798514, -122.423955)",49,Galileo High School
5800,350,"(37.71646118164063, -122.4410171508789)","(37.716419, -122.441012)",54,"Burton, Phillip And Sala Burton High School"
5843,515,"(37.78568649291992, -122.42139434814452)","(37.785647, -122.421368)",49,Galileo High School
5959,214,"(37.79855346679688, -122.42398071289062)","(37.798514, -122.423955)",49,Galileo High School
5968,515,"(37.78568649291992, -122.42139434814452)","(37.785647, -122.421368)",49,Galileo High School
6368,653,"(37.79217529296875, -122.42269134521484)","(37.792134, -122.422661)",49,Galileo High School
6436,350,"(37.71646118164063, -122.4410171508789)","(37.716419, -122.441012)",54,"Burton, Phillip And Sala Burton High School"
6632,350,"(37.71646118164063, -122.4410171508789)","(37.716419, -122.441012)",54,"Burton, Phillip And Sala Burton High School"
6676,643,"(37.775146484375, -122.41925811767578)","(37.7751, -122.41924)",49,Galileo High School
